FILE	INT	DAT	ALL	ANG	ESP	ITA	USA	NDL	KOR	ISR	IDE
MENUSPE.CAT	"---"	"Utiliser ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"Benutze ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"Use ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"Usar ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"Utilizzare ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	" לעפה~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"---"
MENUSPE.CAT	"---"	" sur ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	" mit ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	" on ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	" con ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	" con ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	" םע ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"---"
MENUSPE.CAT	"---"	"INVENTAIRE VIDE~~~~~~~~~~~~~~~~~~~~~~~~~"	"INVENTARLISTE LEER~~~~~~~~~~~~~~~~~~~~~~"	"EMPTY INVENTORY~~~~~~~~~~~~~~~~~~~~~~~~~"	"INVENTARIO VACíO~~~~~~~~~~~~~~~~~~~~~~~~"	"INVENTARIO VUOTO~~~~~~~~~~~~~~~~~~~~~~~~"	"~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"קיר יאלמ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"---"
MENUSPE.CAT	"---"	"RENTRER LE NOM DE VOTRE SAUVEGARDE~~~~~~"	"NAMEN IHRER DATEI ANGEBEN~~~~~~~~~~~~~~~"	"ENTER FILE NAME~~~~~~~~~~~~~~~~~~~~~~~~~"	"ENTRAR EL NOMBRE DE SU SALVAGUARDIA~~~~~"	"INTRODURRE IL NOME DA SALVARE~~~~~~~~~~~"	"~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"ץבוק םש וניזה~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"---"
MENUSPE.CAT	"---"	"NOM DE LA SAUVEGARDE : ~~~~~~~~~~~~~~~~~"	"SPEICHERNAME: ~~~~~~~~~~~~~~~~~~~~~~~~~~"	"NAME OF FILE : ~~~~~~~~~~~~~~~~~~~~~~~~~"	"NOMBRE DE LA sALVAGUARDIA : ~~~~~~~~~~~~"	"NOME DA SALVARE : ~~~~~~~~~~~~~~~~~~~~~~"	"~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	" : ץבוק םש~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"---"
MENUSPE.CAT	"---"	"CHARGER : ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"LADEN : ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"LOAD : ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"CARGAR : ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"CARICARE : ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	" : הניעט~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"---"
MENUSPE.CAT	"---"	"JE CONFIRME~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"ICH BESTÄTIGE~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"I CONFIRM~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"CONFIRMO~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"CONFERMO~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"רושיא~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"---"
MENUSPE.CAT	"---"	"J'ANNULE~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"ICH ANNULLIERE~~~~~~~~~~~~~~~~~~~~~~~~~~"	"I CANCEL~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"CANCELO~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"ANNULLO~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"לוטיב~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"---"
MENUSPE.CAT	"---"	"SAUVEGARDE ANNULÉE~~~~~~~~~~~~~~~~~~~~~~"	"SPEICHERUNG ANNULLIERT~~~~~~~~~~~~~~~~~~"	"SAVING CANCELLED~~~~~~~~~~~~~~~~~~~~~~~~"	"SALVAGUARDIA CANCELADA~~~~~~~~~~~~~~~~~~"	"SALVATAGGIO ANNULLATO~~~~~~~~~~~~~~~~~~~"	"~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"הלטוב הרימש~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"---"
MENUSPE.CAT	"---"	"CHARGEMENT ANNULÉ~~~~~~~~~~~~~~~~~~~~~~~"	"LADEN ANNULLIERT~~~~~~~~~~~~~~~~~~~~~~~~"	"LOADING CANCELLED~~~~~~~~~~~~~~~~~~~~~~~"	"CARGAMENTO CANCELADO~~~~~~~~~~~~~~~~~~~~"	"CARICA ANNULLATA~~~~~~~~~~~~~~~~~~~~~~~~"	"~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"הלטוב הניעט~~~~~~~~~~~~~~~~~~~~~~~~~~~~~"	"---"
