FILE	INT	DAT	ALL	ANG	ESP	ITA	USA	NDL	KOR	ISR	IDE
GOB11.TOT	"---"	"---"	"---"	"---"	"---"	"---"	"---"	"---"	"---"	"---"	"---"
GOB11.TOT	"---"	"---"	"---"	"---"	"---"	"---"	"---"	"---"	"---"	"---"	"---"
GOB11.TOT	"---"	"Bouton"	"Knopf"	"Switch"	"Botón"	"Pulsante"	"Switch"	"---"	"---"	"קספמ"	"---"
GOB11.TOT	"---"	"Schwarzy"	"Schwarzy"	"Schwarzy"	"Schwarzy"	"Schwarzy"	"Schwarzy"	"---"	"---"	"יצרווש"	"---"
GOB11.TOT	"---"	"Hache"	"Axt"	"Hatchet"	"Hacha"	"Ascia"	"Hatchet"	"---"	"---"	"ןזרג"	"---"
GOB11.TOT	"---"	"Palan"	"Winde"	"Hoist"	"Polea"	"Paranco"	"Hoist"	"---"	"---"	"ףונמ"	"---"
GOB11.TOT	"---"	"Couvercle"	"Deckel"	"Cover"	"Tapa"	"Coperchio"	"Cover"	"---"	"---"	"הסכמ"	"---"
GOB11.TOT	"---"	"Billot"	"Hackklotz"	"Block"	"Tajo"	"Ceppo"	"Block"	"---"	"---"	"םוסחמ"	"---"
GOB11.TOT	"---"	"Porte"	"TÜr"	"Door"	"Puerta"	"Porta"	"Door"	"---"	"---"	"תלד"	"---"
GOB11.TOT	"---"	"Souterrain"	"Tunnel"	"Tunnel"	"Subterráneo"	"Sotterraneo"	"Tunnel"	"---"	"---"	"הרהנמ"	"---"
GOB11.TOT	"---"	"Fingus"	"Fingus"	"Fingus"	"Fingus"	"Fingus"	"Fingus"	"---"	"---"	"סוגניפ"	"---"
GOB11.TOT	"---"	"Winkle"	"Winkle"	"Winkle"	"Winkle"	"Winkle"	"Winkle"	"---"	"---"	"לקניוו"	"---"
GOB11.TOT	"---"	"Chewing-gum"	"Kaugummi"	"Chewing-gum"	"Chicle"	"Chewing-gum"	"Chewing gum"	"---"	"---"	"הסיעל-ימוג"	"---"
GOB11.TOT	"---"	"Empreinte"	"Abdruck"	"Imprint"	"Molde"	"Impronta"	"Imprint"	"---"	"---"	"טילבת"	"---"
GOB11.TOT	"---"	"Dentier"	"Gebiß"	"False teeth"	"Dentadura postiza"	"Dentiera"	"False teeth"	"---"	"---"	"תופיוזמ םייניש"	"---"
GOB11.TOT	"---"	"Epée"	"Degen"	"Sword"	"Espada"	"Spada"	"Sword"	"---"	"---"	"ברח"	"---"
GOB11.TOT	"---"	"Viande"	"Fleisch"	"Meat"	"Carne"	"Carne"	"Meat"	"---"	"---"	"רשב"	"---"
GOB11.TOT	"---"	"Mayonnaise"	"Mayonnaise"	"Mayonnaise"	"Mayonesa"	"Maionese"	"Mayonnaise"	"---"	"---"	"זנוימ"	"---"
GOB11.TOT	"---"	"Scaphandre"	"Tauchanzug"	"Diving suit"	"Escafandra"	"Scafandro"	"Diving suit"	"---"	"---"	"הלילצ תפילח"	"---"
GOB11.TOT	"---"	"Tabouret"	"Hocker"	"Stool"	"Taburete"	"Sgabello"	"Stool"	"---"	"---"	"ףרפרש"	"---"
GOB11.TOT	"---"	"Elixir de gentillesse"	"Freundtrunk"	"Kindelixir"	"Gentixir"	"Gentisir"	"Kind elixir"	"---"	"---"	"תובידא רישכת"	"---"
GOB11.TOT	"---"	"Enclume"	"Amboß"	"Anvil"	"Yunque"	"Incudine"	"Anvil"	"---"	"---"	"ןדס"	"---"
GOB11.TOT	"---"	"Clé"	"Schlüssel"	"Key"	"LLave"	"Chiave"	"Key"	"---"	"---"	"חתפמ"	"---"
GOB11.TOT	"---"	"Puits"	"Brunnen"	"Well"	"Pozo"	"Pozzo"	"Well"	"---"	"---"	"ראב"	"---"
GOB11.TOT	"---"	"Est-ce vous le cerbère de ces lieux?"	"\x12\x00\x04\x00sind sie hier wach- und Höllenhund?"	"so 
\x19\x00\x05\x00you're the big hellhound around herE"	"¿Es vd el cancerbero de estos lares?"	"è lei il cerbero di questi luoghi?"	"so 
\x19\x00\x05\x00you're the big watchdog around herE!"	"---"	"---"	"הפ ישארה לואשה בלכ התא ,זא"	"---"
GOB11.TOT	"---"	"C'est par où la sortie, tas d'os?"	"wo geht's denn raus, du knochenhaufen?"	"where's the way out, bone heap? "	"¿dónde está la salida, huesudo?"	"dov'è l'uscita, ammasso d'ossa?!"	"where's the way out, bone heap? "	"---"	"---"	"?תומצע תמירע ,האיציה הפיא"	"---"
GOB11.TOT	"---"	"Hé cloporte,
\x26\x00\x09\x00prosterne-toi devant ton dieu!"	"he, du armselige küchenassel!
~~~
\x0a\x00\x09\x00verneig dich vor deinem herrn & gott!"	"Hey, maggot, bow down
\x5e\x00\x09\x00before your god!"	"¡Hé gusano,
\x46\x00\x09\x00postrate ante tu dios!"	"ehi, onisco,
\x2a\x00\x09\x00prostrati davanti al tuo dio!"	"Hey, maggot, bow down
\x4e\x00\x09\x00before your master!"	"---"	"---"	"הווחתשת ,תעלות ,ייה
\x00\x00\x0a\x00!ךלש לאה ינפב"	"---"
GOB11.TOT	"---"	"ALLEZ va coucher 
\x42\x00\x09\x00ersatz de Tortue NINJA! "	"kusch, gib pfötchen, du missglückte
~~~
\x56\x00\x09\x00ninja-schildkrÖte!"	"Lie down, you
~~~
\x56\x00\x09\x00fake ninja turtle!"	"¡Anda vete por ahí,
\x36\x00\x09\x00aprendiz de tortuga ninja!"	"dai, vattene brutta 
~~~
\x2a\x00\x09\x00copia di una tartaruga ninja!"	"Lie down, you
~~~
\x56\x00\x09\x00fake ninja turtle!"	"---"	"---"	"תכיתח ,בכשת
~~~
\x00\x00\x0a\x00!ה'גנינ בצל יוקיח"	"---"
