FILE	INT	DAT	ALL	ANG	ESP	ITA	USA	NDL	KOR	ISR	IDE
EMAJ1038.CAT	---	         ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~	~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~	~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~	~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~	~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~	---	---	---	                                        	---
EMAJ1038.CAT	---	EAU~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~	WASSER~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~	WATER~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~	AQUA~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~	ACQUA~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~	---	---	---	םימ	---
EMAJ1038.CAT	---	GRAIN    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~	KORN~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~	GRAIN~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~	GRANO~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~	GRANOELLO~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~	---	---	---	רגרג	---
MENU.CAT	---	Utiliser ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~	Benutze ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~	Use ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~	Usar ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~	Utilizzare ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~	---	---	---	שומיש	---
MENU.CAT	---	 sur ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~	 mit~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~	 on ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~	 con ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~	 con ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~	---	---	---	                                     םע 	---
MENU.CAT	---	INVENTAIRE VIDE~~~~~~~~~~~~~~~~~~~~~~~~~	INVENTARLISTE LEER~~~~~~~~~~~~~~~~~~~~~~	EMPTY INVENTORY~~~~~~~~~~~~~~~~~~~~~~~~~	INVENTARIO VACIO~~~~~~~~~~~~~~~~~~~~~~~~	INVENTARIO VUOTO~~~~~~~~~~~~~~~~~~~~~~~~	---	---	---	קיר יאלמ	---
MENU.CAT	---	RENTRER LE NOM DE VOTRE SAUVEGARDE~~~~~~	NAMEN IHRER DATEI ANGBEN~~~~~~~~~~~~~~~~	ENTER FILE NAME~~~~~~~~~~~~~~~~~~~~~~~~~	ENTRAR EL NOMBRE DE LA SALVAGUARDA~~~~~~	INTRODURRE IL NOME DA SALVARE~~~~~~~~~~~	---	---	---	ץבוק םש וניזה	---
MENU.CAT	---	NOM DE LA SAUVEGARDE : ~~~~~~~~~~~~~~~~~	NAME FÜR GESPEICHERTE DATEI : ~~~~~~~~~~	NAME OF FILE : ~~~~~~~~~~~~~~~~~~~~~~~~~	NOMBRE DE LA SALVAGUARDA : ~~~~~~~~~~~~~	NOME DA SALVARE : ~~~~~~~~~~~~~~~~~~~~~~	---	---	---	ץבוק םש	---
MENU.CAT	---	CHARGER : ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~	LADEN : ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~	LOAD : ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~	CARGAR : ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~	CARICARE : ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~	---	---	---	: הניעט	---
MENU.CAT	---	JE CONFIRME~~~~~~~~~~~~~~~~~~~~~~~~~~~~~	ICH BESTÄTIGE~~~~~~~~~~~~~~~~~~~~~~~~~~~	I CONFIRM~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~	CONFIRMO~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~	CONFERMO~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~	---	---	---	רושיא	---
MENU.CAT	---	J'ANNULE~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~	ICH ANNULLIERE~~~~~~~~~~~~~~~~~~~~~~~~~~	I CANCEL~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~	ANULO~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~	ANNULLO~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~	---	---	---	לוטיב	---
MENU.CAT	---	SAUVEGARDE ANNULEE~~~~~~~~~~~~~~~~~~~~~~	SPEICHERUNG ANNULLIERT~~~~~~~~~~~~~~~~~~	SAVING CANCEL~~~~~~~~~~~~~~~~~~~~~~~~~~~	SALVAGUARDA ANULADA~~~~~~~~~~~~~~~~~~~~~	SALVATAGGIO ANNULLATO~~~~~~~~~~~~~~~~~~~	---	---	---	הרימש לוטיב	---
MENU.CAT	---	CHARGEMENT ANNULE~~~~~~~~~~~~~~~~~~~~~~~	LADEN ANNULLIERT~~~~~~~~~~~~~~~~~~~~~~~~	LOADING CANCELLED~~~~~~~~~~~~~~~~~~~~~~~	CARGAMENTO ANULADO~~~~~~~~~~~~~~~~~~~~~~	CARICA ANNULLATA~~~~~~~~~~~~~~~~~~~~~~~~	---	---	---	הלטוב הניעט	---
