FILE	INT	DAT	ALL	ANG	ESP	ITA	USA	NDL	KOR	ISR	IDE
INTRO0.TOT	---	---	---	---	---	---	"On that day, evil omens were carried
~~~
16@72
in on the storm. The rumbling of the
~~~
28@80
thunder seemed to predict the end
~~~
28@88
of the Kingdom of the Blue Rocks."	---	---	ואשינ תוער תורושב ,אוהה םויב|~~~|16@74|~$~|יכ המוד .תורעוסה ףחסה תוחורב|~~~|28@84|~$~|הציק תא האבינ םימערה תפוס|~~~|28@94|~$~|.םילוחכה םיעלסה תכלממ לש	---
INTRO0.TOT	---	---	---	---	---	---	"Three days before the Great Eclipse, 
~~~
0@64
OHKRAM, my grand-father and chief wizard
~~~
84@72
knocked at my door:
~~~
16@88
The Kingdom of the Blue Rocks was in
132@96
danger."	---	---	,לודגה יוקילה ינפל םימי השולש|~~~|0@66|~$~|םיפשכמה שארו ילש אבסה ,םהרקוא|~~~|84@76|~$~|:יתלד לע קפד|~~~|16@88|~$~|.הנכסב תאצמנ םילוחכה םיעלסה לש הכלממה	---
INTRO1.TOT	---	---	---	---	---	---	"WEEN, my magic is leaving me. My
~~~
12@16
powers are no longer strong enough to
~~~
20@24
keep the Kingdom from falling under
~~~
100@32
KRAAL's shadow."	---	---	םימסקה .יתוא בזוע ילש םסקה ,ןיוו|~~~|12@18|~$~|ידכ קיפסמ םיקזח אל רבכ ילש|~~~|20@28|~$~|הליפנ ינפמ וזה הכלממה לע רומשל|~~~|32@38|~$~|.לארק לש וליצ תחת	---
INTRO1.TOT	---	---	---	---	---	---	"KRAAL is an ambitious wizard whose
8@8
dream is to reign over the Blue Rocks."	---	---	ןתפאש ףשכמ אוה לארק|~$~|8@8|~$~|.םילוחכה םיעלסה לע טולשל ומולחש	---
INTRO1.TOT	---	---	---	---	---	---	"Ten years ago I banished him, and now
28@8
his desire for vengeance has turned 
104@16
to
132@16
hatred..."	---	---	תעכו ,ותוא יתשריג םינש רשע ינפל|~$~|...האנש ידכ דע לדג המקנב ונוצר	---
INTRO1.TOT	---	---	---	---	---	---	"I know that he plans to return on the 
~~~
16@8
day of the Great Eclipse and I'm too 
28@16
weak to stop him. It's up to you,
~~~
88@24
WEEN, to stop him."	---	---	רוזחל ןנכתמ אוהש עדוי ינא|~~~|16@10|~$~|שלח ינאו לודגה יוקילה םויב|~$~|28@20|~$~|,ךב יולת הז .ודעב רוצעל ידכב ידמ|~~~|88@30|~$~|.ותוא רוצעל ,ןיוו	---
INTRO2.TOT	---	---	---	---	---	---	"KRAAL is a powerful wizard but you
~~~
8@8
can eliminate him with the help of the
~~~
16@16
REVUSS, the hour-glass of power, and
~~~
52@24
by fulfilling the prophecy. "	---	---	התא לבא המצוע בר ףשכמ אוה לארק|~~~|8@10|~$~|תועצמאב ותוא לרטנל לוכי|~~~|61@20|~$~|,לוכי לכה לוחה ןועש ,סובר|~~~|52@30|~$~|.האובנה תמשגה ידי לעו	---
INTRO2.TOT	---	---	---	---	---	---	"On the day of the
51@28
Great Eclipse 
15@56
three grains of sand
33@70
will be placed in 
33@84
the REVUSS by the 
~~~
27@98
valiant hearted...
~~~
23@126
...and
104@126
Kraal's doom
~~~
17@140
will thus b
146@140
e sealed."	---	---	לודגה יוקילה םויב|~$~|51@60|~$~|לוח ירגרג השולש|~$~|33@76|~$~|ידי לע סוברה ךותב וחנוי|~~~|27@92|~$~|...ץימא בל|~~~|23@108|~$~|לארק לש ןודבאהו...|~~~|17@124|~$~|.םתחיי ךכ	---
INTRO2.TOT	---	---	---	---	---	---	"In my home there is a passage to the 
~~~
0@8
temple which houses the REVUSS. You will
~~~
8@16
have to overcome three obstacles. Each 
~~~
8@24
will be rewarded with a grain of sand."	---	---	לא רבעמ ןכוש יתיבב|~~~|0@10|~$~|ךרטצת .סוברה ןכוש וב שדקמה|~~~|8@20|~$~|דחא לכ .םילושכמ השולש רובעל|~~~|8@03|~$~|.לוח ריגרגב ךתוא למגתי םהמ	---
INTRO2.TOT	---	---	---	---	---	---	"You must remove the seal which guards
~~~
24@8
the entrance to the cave where the 
~~~
72@16
temple is to be found."	---	---	רמושש םתוחה תא ריסהל ךילע|~~~|24@10|~$~|ןכיה הרעמל הסינכה לע|~~~|72@20|~$~|.אצמנ שדקמהש	---
INTRO3.TOT	---	---	---	---	---	---	"You have to vanquish the dragon 
~~~
28@8
with a hundred faces. He protects
~~~
52@16
the entrance to the temple."	---	---	ןוקרדה תא סיבהל ךילע|~~~|28@10|~$~|רמוש אוה .םיפוצרפה האמ לעב|~~~|52@20|~$~|.שדקמל הסינכה לע	---
INTRO3.TOT	---	---	---	---	---	---	"Finally, you have to convince the 
~~~
4@8
guardian to open the sanctuary in which
76@16
the REVUSS is protected."	---	---	תא ענכשל ךילע ,ףוסבל|~~~|4@10|~$~|רותסמה םוקמ תא חותפל תרמושה|~$~|76@20|~$~|.סוברה רומש וב	---
INTRO3.TOT	---	---	---	---	---	---	---	---	---	---	---
INTRO3.TOT	---	---	---	---	---	---	"You must remove the seal which guards
24@8
the entrance to the cave where you
72@16
will find the temple."	---	---	רמושש םתוחה תא ריסהל ךילע|~$~|24@10|~$~|ןכיה הרעמל הסינכה לע|~$~|72@20|~$~|.שדקמה תא אצמתש	---
INTRO4.TOT	---	---	---	---	---	---	"... and thus you will obtain the 
16@8
three grains of sand to place in the 
~~~
36@16
REVUSS and the prophecy will be
16@24
fulfilled...GO WEEN, only three days
132@32
remain."	---	---	תא גישת זאו ...|~$~|16@10|~$~|רובע לוחה ירגרג תשולש|~~~|36@20|~$~|...םשגתת האובנהו סוברה|~$~|16@30|~$~|םימי השולש קר ,ןיוו ךל|~$~|132@40|~$~|.ורתונ	---
INTRO5.TOT	---	---	---	---	---	---	---	---	---	---	---
INTRO5.TOT	---	---	---	---	---	---	"Schauen Sie auf dem der Software
7@9
beiliegenden Farbraster nach und
19@18
tippen Sie die der jeweiligen
31@27
Farbe zugehörige Zahl ein:
16@36
1 - rot  2 - schwarz  3 - gelb
16@45
4 - grün 5 - blau     6 - weiß
16@54
7 - grau 8 - malvenfarbig"	---	---	Schauen Sie auf dem der Software|~$~|7@9|~$~|beiliegenden Farbraster nach und|~$~|19@18|~$~|tippen Sie die der jeweiligen|~$~|31@27|~$~|Farbe zugehörige Zahl ein:|~$~|16@36|~$~|1 - rot  2 - schwarz  3 - gelb|~$~|16@45|~$~|4 - grün 5 - blau     6 - weiß|~$~|16@54|~$~|7 - grau 8 - malvenfarbig	---
